x,y
-0.237570768,-0.697586918
-0.255414465,-1.348239174
-0.3770663,-0.877511569
-0.947728666,-1.340769447
-1.21299501,-1.668992181
-0.474532963,-1.342975594
-0.989012278,-1.243212083
-0.858969047,-0.620731976
-0.466925297,-1.53554171
-1.888148511,-0.686750502
-0.420638648,-1.459124173
-1.255324459,-0.471750692
-1.860344447,-0.956817242
-1.134614346,-1.072298816
-1.460745085,-1.601510456
-1.437505061,-1.570965447
-1.479297386,-1.11044182
-0.692247497,-0.364581558
-1.372543019,-0.970833803
-1.28598217,-1.505778151
-0.927753185,-0.554588123
-1.685795384,-1.052252018
-0.555859023,-0.565551169
-2.323011117,-1.277625483
-1.19430892,-0.905258621
-1.301028054,-1.703044516
-0.644731144,-1.413561346
-0.796567555,-0.651688106
-0.702490595,-0.733470768
-1.252325175,-0.401236957
-0.07228523,-0.746922994
-1.237493957,-0.910154193
-0.998269421,-0.635206651
-1.347476943,-0.600748012
-0.362399734,-0.435126529
-1.47759494,-0.208828944
-1.715458989,-0.621826406
-1.156110788,-1.077100846
0.028610506,-1.663738692
-1.133515302,-1.331244197
-1.375836873,-1.410434715
-0.994635642,-1.281651507
-0.887215653,-0.267468708
-1.146802854,-1.459192665
-0.758705269,-0.665734209
-1.770788036,-1.742163124
-1.716340017,-1.15080946
-2.777894462,-1.041648399
-0.959604901,-1.281259207
-0.278530709,-0.4932911
-0.880941984,-1.166494574
-0.938639467,-0.380712761
-0.577333273,-1.333168985
-1.170748031,-1.593761404
-1.303814211,-0.696487234
-0.864699618,-0.052789885
-0.637136814,-0.330822599
-0.469904648,-0.462330462
-1.557060715,-0.675543746
-1.119864197,-0.158057428
-1.940900369,-0.313277163
-1.096696894,-1.157582685
-1.380977245,-0.928245588
-0.786353619,-1.441561725
-0.773662622,-1.076470336
-0.512555427,-0.603790604
-0.331532493,-0.796028606
-0.260381136,-1.507951235
-1.998371968,-0.373759893
-0.981873078,-0.497579622
-1.640334383,-0.412331766
-0.632527267,-0.8417111
-1.303418893,-0.514260853
-1.320341264,-0.743515459
-1.286514722,-0.724566114
-1.457748138,-1.031315185
-1.184026926,-1.184304075
-0.456046972,-1.682742087
-0.620351854,-1.061197037
-0.947512287,-1.324144531
-1.129789971,-1.365122607
-2.555691065,-1.179560754
-1.313677681,-0.793057378
-0.824025135,-1.685195353
-0.794158974,-0.909354852
-0.849183932,-1.160248591
-1.534570809,-1.86525136
-1.048023574,-2.222597105
-1.362586048,-0.552882271
-0.398889133,-1.219527107
-0.303623436,-0.66889465
-0.5568293,-0.862072489
-1.067640649,-1.275685534
-0.679729136,-0.589731183
-1.441754508,-0.590670559
-0.299222097,-0.920105147
-0.613681814,-0.503187711
-1.192918492,-0.809848993
-0.684068163,-0.630064868
-1.035487923,-1.578285688
-0.462590805,2.423610496
-1.871122054,0.925118466
-1.244408882,1.325552445
-0.694246705,1.073455142
-1.229973059,0.676012724
-0.767047992,0.591760087
-0.716670699,0.49696101
-1.316749302,1.506229643
-0.608846023,0.720902835
-0.866760627,0.51542203
-0.978377582,0.912579452
-0.535477722,0.661532833
-1.090304237,0.943264383
-1.507378769,0.06607011
-0.695894176,0.401996557
-0.631269282,1.030434913
-1.395476108,0.61352582
-0.272279936,0.677630028
-1.559683184,1.924232922
-1.431366584,1.641123219
-0.731826092,0.888309272
-2.083432903,0.397955831
-1.664069609,0.528896344
-1.192650251,2.107061099
-0.411151361,0.934550258
-0.306186858,1.134064485
-1.415798267,1.014540419
-1.336910627,1.565173661
-0.809970952,0.615124685
-0.517832915,0.630091457
0.284800664,0.105824283
-0.831403802,0.236300826
-0.596076615,1.134735087
-1.21312255,0.956114019
-1.494387982,1.38472914
-0.933831706,0.743473777
-0.86780645,1.22825544
-1.40236653,1.374647378
-0.41332535,1.963351525
-0.290025106,0.956818534
-0.798608474,0.907947053
-0.31031226,1.044114919
-1.265954562,1.037103474
-1.671519518,0.91455162
-1.644546038,1.93751284
-0.796640106,1.619309994
-1.172977935,0.740563442
-0.777038411,1.413805228
-0.45967539,1.621991678
-0.729387475,0.533328186
-0.697557414,0.463735284
-1.84851699,0.827294926
-1.262594814,1.11502363
-1.111960434,1.059754471
-0.227405452,0.948130547
-0.905568925,1.098178678
-1.786730457,0.523205092
-0.178094207,0.560368998
-0.752367758,1.173434703
-0.99212204,0.900770661
-1.241593094,0.792148103
-0.394565382,0.143493377
-1.422156706,1.104967746
0.095838999,1.190206269
-1.090918679,0.303655472
-1.485708856,0.899480141
-1.676548053,0.98698577
-1.156503698,1.405419797
-0.975757987,0.629750758
-1.190684113,0.679737318
-1.355972582,0.59238365
-0.71620435,0.109729311
-1.38650767,1.032298123
-0.861868068,1.156227614
-1.132792449,0.59816914
-0.682729998,0.522870921
-1.779422007,0.41003746
-0.519982029,0.901101035
-1.515215379,1.532822877
-1.425598638,-0.41406379
-0.493715316,-0.133507921
-0.137405621,1.519354432
-1.210535568,0.640767707
-0.894148819,0.967953296
-1.598858443,1.589117387
-1.805242531,1.761638575
-0.412824414,1.015129671
-0.625429684,1.328719167
-1.017290076,1.094341289
-1.25878869,1.23664642
-1.621116674,0.815157341
-1.278532367,0.246751223
-0.252552743,1.284339041
-1.119910725,1.312726202
-0.715213771,0.798626142
-0.952788798,0.715567946
-1.667827892,0.272890542
-1.855615707,0.731577955
-0.474590678,0.700775685
-0.888655357,0.811524409
1.824262988,0.998511141
1.176728167,0.534313152
0.798499235,1.351500899
1.148885057,0.594145045
1.146306358,1.166098793
1.581969653,0.433645312
1.433134322,1.04426387
1.497365386,1.78985852
1.081934427,1.060519596
1.182359496,1.204339452
1.530846418,0.864051174
1.044412607,0.369949376
0.219872052,1.64417657
1.085438338,1.745626968
0.529171661,1.173428982
0.962441321,1.192002341
0.75890035,1.163175107
0.654071346,0.303779961
1.566513138,1.066435008
0.808167825,1.363860956
0.999879233,0.384003578
1.036246569,1.54927557
0.285119157,0.565076886
1.583965816,0.94894759
0.926348126,0.566506457
1.400535502,0.835932177
1.135737972,1.481709205
1.564563731,0.547946504
0.62921334,1.213533536
0.140512526,0.900486211
0.742950193,1.107228803
0.680436553,0.790495923
0.39270301,1.608271167
1.570379092,1.761407689
1.46909768,1.031105602
1.411832995,0.034919337
0.091619533,1.031152886
0.132714608,1.687514373
1.778772548,1.078875057
1.040583796,0.818432081
1.261802693,0.949443727
0.828593333,-0.500286691
0.142662172,0.88981291
0.972028374,0.767687843
0.86703767,0.805057633
2.340910614,0.968429899
0.422633748,0.307209321
0.808324512,0.207238629
0.516761331,1.2963618
1.99168867,0.653062931
1.353412077,0.756319061
0.391319293,1.354284401
1.160804391,0.840578046
0.355634417,1.350369011
0.840402723,1.117775235
2.518974156,0.846635973
1.169104553,0.942729234
0.46152649,0.505254682
1.117871488,1.310129888
0.663482916,1.508219046
0.489016406,1.347578161
0.535241078,1.186909592
1.058165861,0.649900751
1.387472098,0.172541405
0.963811793,0.743689844
0.353490968,1.621730797
0.619309342,1.309684524
1.886323571,0.783562906
0.67203162,0.515357767
0.772558155,0.475649549
1.627884498,0.547813934
0.335836151,0.872921796
1.352614138,0.804920053
0.781518195,0.59458281
0.637684868,0.44771377
1.482176274,0.965277775
1.070351192,1.105981178
1.165070363,0.910457581
1.168231157,0.07794715
1.108314454,0.176478396
0.572383144,1.206069657
0.420727509,0.817160775
1.261857388,0.43959979
0.728139497,2.199145139
1.837825559,1.548800653
0.851837071,1.313959648
1.190479357,0.991654923
1.938742714,0.928791575
0.976827532,2.049411388
1.178227964,0.535750341
0.903904951,1.416526725
1.765588377,1.262236247
1.12785383,1.304421242
1.582196973,0.956585245
0.820706148,1.901689762
0.193661563,1.546468858
0.984771381,0.236956984
1.601310048,1.158308541
1.377621465,1.290352865
0.887880549,0.91305315
1.094360848,-0.831091934
1.652108626,-1.134223487
1.112106866,-0.213013992
1.850097379,-1.024967272
0.547587245,-1.159512424
0.769587566,-1.279281179
0.868172984,-1.219559682
1.23646088,-1.057765422
1.2064586,-2.021927479
1.469345351,-0.567226634
1.301731918,-1.083749048
1.161614474,-0.177824045
1.349896886,-0.433274909
1.670238914,-1.581697334
1.406302956,-0.719022143
0.183571931,-1.535665723
0.561639986,-1.519121559
0.036220409,-1.179985548
1.94275136,-1.732947844
0.831699338,-1.570248796
0.958182214,-0.925768243
0.112237221,-1.648363269
0.61333867,-1.793503668
1.473648524,-0.291178363
0.461548241,-0.480377226
1.874411208,-0.432897478
0.256920146,-0.736114515
0.379766273,-1.035370687
1.214967507,-0.339757197
0.23919874,-0.164904992
-0.235947212,-1.258556608
1.249815885,0.015220414
0.400395908,-1.83290306
0.747880266,-1.797371682
0.757232344,-1.292420765
1.619446088,-1.261117185
1.076520815,-0.744822319
1.028289927,-0.641942856
1.091486684,-1.35509171
-0.02651627,-0.524439745
0.693604197,-0.651011744
1.032452624,-1.726904974
0.81086689,-0.707252062
0.648894237,-0.461381077
1.057346661,-1.509130733
-0.262814712,-1.276663633
-0.04891916,-0.500645025
0.883481049,0.097897876
0.111513989,-1.173483257
0.691901366,-1.162101731
0.749587006,-0.735311913
0.82805895,-1.128752998
1.140050298,-1.430173128
1.035394612,-1.624486872
1.401426505,-1.829585767
0.919549179,-0.062549343
